id;name;efficiency
0;Ava Silva;16
1;Aspen Woodward;71
2;Wylie Rogers;36
3;Ciara Dodson;44
4;Ulysses Wolfe;1
5;Iris Whitehead;58
6;Pascale Gentry;28
7;Miriam Mullins;3
8;Yvette Zamora;74
9;Tatiana Moon;85
10;Zeph Kent;28
11;Gretchen Ortega;5
12;Harper Knox;3
13;Randall Sosa;48
14;Athena Franco;94
15;Rahim Patton;19
16;Addison Vincent;78
17;Dennis Giles;75
18;Phelan Brewer;4
19;Simone Herman;95
20;Kevyn Bryan;30
21;Reuben Robertson;80
22;Candace Small;21
23;Joy Jarvis;55
24;Kim Mayer;9
25;Damian Mercer;95
26;Willow Carson;75
27;Miriam Conner;6
28;Darius Mclean;20
29;Channing Downs;66
30;Vincent Castillo;91
31;Portia Collins;78
32;Tallulah Lowe;54
33;Whoopi Reed;28
34;Shana Calhoun;47
35;Jolie Hooper;8
36;Craig Garner;11
37;Philip White;57
38;Astra Morrison;60
39;Zenaida Munoz;21
40;Mara Hester;35
41;Aiko Shelton;21
42;Nelle Lloyd;15
43;Maisie Hancock;92
44;Keith Mckenzie;36
45;Martina Cooley;76
46;Karina Hayes;37
47;Jaden Hood;60
48;Hayfa Livingston;81
49;Josephine Odonnell;11
50;Montana Stokes;80
51;Wynter Barrera;33
52;Paul Preston;50
53;Chloe Browning;24
54;Jescie Phillips;56
55;Garth Rhodes;58
56;Nora Montoya;43
57;Dora Walton;20
58;Porter Gonzales;85
59;Yetta Carpenter;23
60;Camilla Powers;59
61;Dana Holder;86
62;Len Shields;18
63;Cole Reyes;85
64;Idola Hull;25
65;Flavia Puckett;30
66;Patrick Gonzales;85
67;Dawn Kane;49
68;Simon Huff;33
69;Ashely Sargent;46
70;Jasper Aguirre;52
71;Naida Whitley;54
72;Gay Rush;63
73;Rudyard Drake;81
74;Colette Jefferson;65
75;Bianca Nichols;61
76;Pearl Kline;36
77;Abbot Owen;3
78;Keelie Huber;1
79;Vielka English;51
80;Giacomo Parker;81
81;Noble Anderson;20
82;Jade Huff;80
83;Morgan Prince;45
84;Azalia Moreno;73
85;Ava Kramer;90
86;Azalia Cunningham;34
87;Suki Vazquez;36
88;Chantale Crane;84
89;Flynn Green;63
90;Kelsie Fletcher;77
91;Zeph Farley;15
92;Marny Winters;80
93;Winter Stewart;25
94;Adele Moses;35
95;Grant Cook;22
96;Amos Silva;14
97;Isabelle Sargent;44
98;Denise Leach;47
99;Xander Shepherd;86
